aʊ l a	aʊ l a m
k aː n ʊ m n ɛ m	k a n ɔ n ɛ m
p r ɛ m s a g j aː r ɛ	p r aɪ s aː g iː r ɛ
p uː lː uː l aː r ɛ	p ʊ lː ʊ l aː r ɛ
k ɔ m uː n aː l	k ɔ mː uː n aː l ɛ m
ɪ ŋ n aː r ʊ m	ɪ ŋ n aː r ʊ m
ɛ s t ɪ w ʊ m	aɪ s t iː w ʊ m
r aː d ɪ kː j ʊ	r aː d iː k ʊ l a m
h ɪ s p aː n ɪ k ʊ m	h ɪ s p aː n ɪ k ʊ m
ɔ b s t ɛ t r ɪ k a m	ɔ b s t ɛ t r iː k ɛ m
k ɛ l t a m	k ɛ l t a m
s ɔ m ɪ aː r ɛ	s a g m aː r j ʊ m
ɛ s ɛ r k ɪ t ʊ m	ɛ k s ɛ r k ɪ t ʊ m
f aː s t ɪ d aː r ɛ	f a s t iː d iː r ɛ
n ɛ k t aː r ɛ	n ɛ k t a r
t r ɪ n ɪ t aː t ɛ m	t r iː n ɪ t aː t ɛ m
