ɪ w ʊ m	iː w ʊ m
ɛ k s aː m ɪ n aː r ɛ	ɛ k s aː m ɪ n aː r ɛ
n ɛ f aː n d ʊ m	n ɛ f a n d ʊ m
ɛ l ʊ ɛ r ɛ	eː l ʊ ɛ r ɛ
k ɔ n s ɔ l aː r ɛ	k oː n s oː l aː r iː
p r ʊ d ɛ n t j a m	p r uː d ɛ n t j a m
ɪ m p ʊ l s ʊ m	ɪ m p ʊ l s ʊ m
w a k aː t j oː n ɛ m	w a k aː t j oː n ɛ m
p a l ʊ d oː s ʊ m	p a l uː d oː s ʊ m
t r ɛ k ʊ m	t r a k t ʊ m
m a t uː r ʊ m	m aː t uː r ʊ m
r a k ɛ m ʊ m	r a k eː m ʊ m
t ɛ t ʊ m	t eː k t ʊ m
