aʊ l aː	aʊ l a m
p r ɛ s aː g j aː r ɛ	p r aɪ s aː g iː r ɛ
p uː lː ʊ l aː r ɛ	p ʊ lː ʊ l aː r ɛ
k ɔ m ʊ n aː l	k ɔ mː uː n aː l ɛ m
ɪ ŋ n aː r ʊ m	ɪ ŋ n aː r ʊ m
ɛ s t ɪ ʊ m m	aɪ s t iː w ʊ m
r a m d ɪ k j oː	r aː d iː k ʊ l a m
h ɪ s p aː n ɪ k ʊ m	h ɪ s p aː n ɪ k ʊ m
ɔ b s t eː t r ɪ k	ɔ b s t ɛ t r iː k ɛ m
k ɛ l t a m	k ɛ l t a m
s ɔ m ɪ ɛ r ʊ m	s a g m aː r j ʊ m
ɛ s ɛ r k iː t ʊ m	ɛ k s ɛ r k ɪ t ʊ m
f a s t ɪ j aː r ɛ	f a s t iː d iː r ɛ
n ɛ k t aː r ɛ	n ɛ k t a r
t r ɪ n ɪ t aː t ɛ m	t r iː n ɪ t aː t ɛ m
