ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
832	Ega	cloth	sɛ44	sɛ44	s ɛ ⁴⁴	979
833	Jinman	cloth	se55	se55	s e ⁵⁵	979
834	Jinxing	cloth	se44	se44	s e ⁴⁴	979
835	Dashi	cloth	sʰe44	sʰe44	sʰ e ⁴⁴	979
836	Zhoucheng	cloth	(pʰio31)	pʰio31	pʰ i/j o ³¹	980
837	Mazhelong	cloth	(pʰio21)	pʰio21	pʰ i/j o ²¹	980
838	ProtoBai	cloud	ŋɔ1b	ŋɔ1b	ŋ ɔ 1b/¹	993
839	Tuoluo	cloud	ŋɔ35	ŋɔ35	ŋ ɔ ³⁵	993
840	Gongxing	cloud	ŋE12	ŋE12	ŋ ᴇ/ɛ ¹²	993
841	Enqi	cloud	ʀæ21	ʀæ21	ʀ æ ²¹	992
842	Ega	cloud	(mɯ̃121)	mɯ̃121	m ɯ̃ ¹²¹	991
843	Jinman	cloud	(mM21)	mM21	m ɯ ²¹	991
844	Jinxing	cloud	ṽ21	ṽ21	ṽ/ʯ̃ ²¹	994
845	Dashi	cloud	võ21	võ21	v õ ²¹	990
846	Zhoucheng	cloud	v21	v21	v/ʯ ²¹	994
847	Mazhelong	cloud	yen21	yen21	y/ɥ e n ²¹	995
848	ProtoBai	cold	kɯ1	kɯ1	k ɯ ¹	1001
849	ProtoBai	cold	gæ1	gæ1	g æ ¹	1001
850	Tuoluo	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001
851	Gongxing	cold	ga12	ga12	g a ¹²	1001
852	Enqi	cold	kɯ24	kɯ24	k ɯ ²⁴	1001
853	Ega	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001
854	Jinman	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001
855	Jinxing	cold	kɯ55(thing)/kɑ21(weather, fɚling)	kɯ55	k ɯ ⁵⁵	1001
856	Jinxing	cold	kɯ55(thing)/kɑ21(weather, fɚling)	kɑ21	k ɑ ²¹	1001
857	Dashi	cold	kɯka21	kɯka21	k ɯ ⁰ + k a ²¹	1001 1002
858	Zhoucheng	cold	kɯ35	kɯ35	k ɯ ³⁵	1001
859	Mazhelong	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001
860	ProtoBai	comb	sro1	sro1	s r o ¹	1015
861	Tuoluo	comb	ʂv55	ʂv55	ʂ v/ʯ ⁵⁵	1015
862	Gongxing	comb	sao55	sao55	s ao ⁵⁵	1015
863	Enqi	comb	ɕu24	ɕu24	ɕ u ²⁴	1015
864	Ega	comb	ɕy55	ɕy55	ɕ y ⁵⁵	1015
865	Jinman	comb	ɕu55	ɕu55	ɕ u ⁵⁵	1015
866	Jinxing	comb	sṽ55	sṽ55	s ṽ/ʯ̃ ⁵⁵	1015
867	Dashi	comb	ʂ35	ʂ35	ʂ */ə ³⁵	1015
868	Zhoucheng	comb	sv35	sv35	s v/ʯ ³⁵	1015
869	Mazhelong	comb	su55	su55	s u ⁵⁵	1015
870	ProtoBai	compensate	bæ1	bæ1	b æ ¹	1026
871	Tuoluo	compensate	ba35	ba35	b a ³⁵	1026
872	Gongxing	compensate	bæ12	bæ12	b æ ¹²	1026
873	Enqi	compensate	pæ21	pæ21	p æ ²¹	1026
874	Jinxing	compensate	pa21	pa21	p a ²¹	1026
875	Dashi	compensate	pɚ21	pɚ21	p ɚ/ə ²¹	1026
876	Zhoucheng	compensate	pʰǝ42	pʰǝ42	pʰ ə ⁴²	1026
877	Mazhelong	compensate	(tã42)	tã42	t ã ⁴²	1027
878	ProtoBai	cook; boil	tsrɔ2	tsrɔ2	ts r ɔ ²	1035
879	Tuoluo	cook; boil	tʂv33	tʂv33	ʈʂ v/ʯ ³³	1035
880	Gongxing	cook; boil	tsao22	tsao22	ts ao ²²	1035
881	Enqi	cook; boil	tɕu22	tɕu22	tɕ u ²²	1035
882	Ega	cook; boil	tɕu22	tɕu22	tɕ u ²²	1035
883	Jinman	cook; boil	tɕu22	tɕu22	tɕ u ²²	1035
884	Jinxing	cook; boil	tsv55	tsv55	ts v/ʯ ⁵⁵	1035
885	Dashi	cook; boil	tʂo33	tʂo33	ʈʂ o ³³	1035
886	Zhoucheng	cook; boil	tsv33	tsv33	ts v/ʯ ³³	1035
887	Mazhelong	cook; boil	tsv33	tsv33	ts v/ʯ ³³	1035
888	ProtoBai	cooking stove; kitchen range	tso5	tso5	ts o ⁵	1046
889	Tuoluo	cooking stove; kitchen range	tsu21	tsu21	ts u ²¹	1046
890	Gongxing	cooking stove; kitchen range	tsu42	tsu42	ts u ⁴²	1046
891	Enqi	cooking stove; kitchen range	tsu43	tsu43	ts u ⁴³	1046
892	Ega	cooking stove; kitchen range	tsy42	tsy42	ts y ⁴²	1046
893	Jinxing	cooking stove; kitchen range	tsou42	tsou42	ts ou ⁴²	1046
894	Dashi	cooking stove; kitchen range	tsu42	tsu42	ts u ⁴²	1046
895	Mazhelong	cooking stove; kitchen range	tso42	tso42	ts o ⁴²	1046
896	ProtoBai	copper, bronze	qæn2	qæn2	q æ n ²	1056
897	Tuoluo	copper, bronze	qaŋ33	qaŋ33	q a ŋ ³³	1056
898	Gongxing	copper, bronze	qan22	qan22	q a n ²²	1056
899	Enqi	copper, bronze	qæ22	qæ22	q æ ²²	1056
900	Ega	copper, bronze	qa22	qa22	q a ²²	1056
901	Jinman	copper, bronze	qã22	qã22	q ã ²²	1056
902	Jinxing	copper, bronze	[tṽ21]	tṽ21	t ṽ/ʯ̃ ²¹	1055
903	Dashi	copper, bronze	[tõ21]	tõ21	t õ ²¹	1055
904	Zhoucheng	copper, bronze	kɛ33	kɛ33	k ɛ ³³	1056
905	Mazhelong	copper, bronze	kɚ̃33	kɚ̃33	k ɚ/ə̃ ³³	1056
906	ProtoBai	corpse	tsʰoŋ1	tsʰoŋ1	tsʰ o ŋ ¹	1066
907	Tuoluo	corpse	tsʰoŋ55	tsʰoŋ55	tsʰ o ŋ ⁵⁵	1066
908	Gongxing	corpse	tsʰoŋ55	tsʰoŋ55	tsʰ o ŋ ⁵⁵	1066
909	Enqi	corpse	tsʰo24	tsʰo24	tsʰ o ²⁴	1066
910	Ega	corpse	tsʰo55	tsʰo55	tsʰ o ⁵⁵	1066
911	Jinman	corpse	tsõ55	tsõ55	ts õ ⁵⁵	1066
912	Mazhelong	corpse	tsʰoŋ55	tsʰoŋ55	tsʰ o ŋ ⁵⁵	1066
913	ProtoBai	correct; right	hɔ1	hɔ1	h ɔ ¹	1075
914	Tuoluo	correct; right	hɔ55	hɔ55	h ɔ ⁵⁵	1075
915	Gongxing	correct; right	ho12	ho12	h o ¹²	1075
916	Enqi	correct; right	χo24	χo24	χ o ²⁴	1074
917	Ega	correct; right	xo55	xo55	x o ⁵⁵	1074
918	Jinman	correct; right	(kv42)	kv42	k v/ʯ ⁴²	1074
919	Jinxing	correct; right	xou55	xou55	x ou ⁵⁵	1074
920	Dashi	correct; right	xou35	xou35	x ou ³⁵	1074
921	Zhoucheng	correct; right	xo35	xo35	x o ³⁵	1074
922	Mazhelong	correct; right	xo55	xo55	x o ⁵⁵	1074
923	ProtoBai	cry (verb or noun?, should be made clear later on)	qʰɔ4	qʰɔ4	qʰ ɔ ⁴	1086
924	Tuoluo	cry (verb or noun?, should be made clear later on)	qʰo42	qʰo42	qʰ o ⁴²	1086
925	Gongxing	cry (verb or noun?, should be made clear later on)	qʰu224	qʰu224	qʰ u ²²⁴	1086
926	Enqi	cry (verb or noun?, should be made clear later on)	qʰu55	qʰu55	qʰ u ⁵⁵	1086
927	Ega	cry (verb or noun?, should be made clear later on)	qʰu44	qʰu44	qʰ u ⁴⁴	1086
928	Jinman	cry (verb or noun?, should be made clear later on)	qʰo55	qʰo55	qʰ o ⁵⁵	1086
929	Jinxing	cry (verb or noun?, should be made clear later on)	kʰou44	kʰou44	kʰ ou ⁴⁴	1086
930	Dashi	cry (verb or noun?, should be made clear later on)	mɚ31	mɚ31	m ɚ/ə ³¹	1085
931	Zhoucheng	cry (verb or noun?, should be made clear later on)	kʰɑ44	kʰɑ44	kʰ ɑ ⁴⁴	1086
932	Mazhelong	cry (verb or noun?, should be made clear later on)	kʰo44	kʰo44	kʰ o ⁴⁴	1086
933	ProtoBai	curved; crooked; bent	kʰo4	kʰo4	kʰ o ⁴	1097
934	Tuoluo	curved; crooked; bent	kʰv42	kʰv42	kʰ v/ʯ ⁴²	1097
935	Gongxing	curved; crooked; bent	kʰao24	kʰao24	kʰ ao ²⁴	1097
936	Enqi	curved; crooked; bent	kʰo55	kʰo55	kʰ o ⁵⁵	1097
937	Ega	curved; crooked; bent	kʰu44	kʰu44	kʰ u ⁴⁴	1097
938	Jinman	curved; crooked; bent	kɯ55	kɯ55	k ɯ ⁵⁵	1097
939	Jinxing	curved; crooked; bent	kʰv44	kʰv44	kʰ v/ʯ ⁴⁴	1097
940	Dashi	curved; crooked; bent	[uen35]	uen35	u/w e n ³⁵	1096
941	Zhoucheng	curved; crooked; bent	kʰv44	kʰv44	kʰ v/ʯ ⁴⁴	1097
942	Mazhelong	curved; crooked; bent	kʰu55	kʰu55	kʰ u ⁵⁵	1097
943	ProtoBai	cut (meat)	sʰræ4	sʰræ4	sʰ r æ ⁴	1107
944	Tuoluo	cut (meat)	ɕa42	ɕa42	ɕ a ⁴²	1107
945	Gongxing	cut (meat)	sæ24	sæ24	s æ ²⁴	1107
946	Enqi	cut (meat)	ɕiæ55	ɕiæ55	ɕ i/j æ ⁵⁵	1107
947	Ega	cut (meat)	ɕa44	ɕa44	ɕ a ⁴⁴	1107
948	Jinman	cut (meat)	ɕa55qa21	ɕa55qa21	ɕ a ⁵⁵ + q a ²¹	1107 1108
949	Jinxing	cut (meat)	sa44	sa44	s a ⁴⁴	1107
950	Dashi	cut (meat)	ʂʰɚ44	ʂʰɚ44	ʂʰ ɚ/ə ⁴⁴	1107
951	Zhoucheng	cut (meat)	sɛ44	sɛ44	s ɛ ⁴⁴	1107
952	Mazhelong	cut (meat)	sɚ44	sɚ44	s ɚ/ə ⁴⁴	1107
953	ProtoBai	cut up (vegetable)	tsʰuaŋ2	tsʰuaŋ2	tsʰ u/w a ŋ ²	1119
954	Tuoluo	cut up (vegetable)	tsʰoŋ33	tsʰoŋ33	tsʰ o ŋ ³³	1119
955	Gongxing	cut up (vegetable)	tsʰuaŋ22	tsʰuaŋ22	tsʰ u/w a ŋ ²²	1119
956	Enqi	cut up (vegetable)	tcʰyE22	tcʰyE22	tɕʰ y/ɥ ᴇ/ɛ ²²	1119
957	Ega	cut up (vegetable)	(ɕa44)	ɕa44	ɕ a ⁴⁴	1120
958	Jinman	cut up (vegetable)	(ɕu44)	ɕu44	ɕ u ⁴⁴	1120
959	Jinxing	cut up (vegetable)	tsʰuɑ̃33	tsʰuɑ̃33	tsʰ u/w ɑ̃ ³³	1119
960	Dashi	cut up (vegetable)	tsʰuã33	tsʰuã33	tsʰ u/w ã ³³	1119
961	Zhoucheng	cut up (vegetable)	tsʰua33	tsʰua33	tsʰ u/w a ³³	1119
962	Mazhelong	cut up (vegetable)	tsʰuen33	tsʰuen33	tsʰ u/w e n ³³	1119
963	ProtoBai	cut/rip open	pʰæ4	pʰæ4	pʰ æ ⁴	1130
964	Tuoluo	cut/rip open	pʰa42	pʰa42	pʰ a ⁴²	1130
965	Gongxing	cut/rip open	pʰæ24	pʰæ24	pʰ æ ²⁴	1130
966	Enqi	cut/rip open	pʰæ44	pʰæ44	pʰ æ ⁴⁴	1130
967	Ega	cut/rip open	tɕyi21tʰo55	tɕyi21tʰo55	tɕ y/ɥ i ²¹ + tʰ o ⁵⁵	1131 1132
968	Jinman	cut/rip open	ɕa455pʰo42	ɕa455pʰo42	ɕ a 455/⁵⁵ + pʰ o ⁴²	1133 1130
969	Jinxing	cut/rip open	pʰa44	pʰa44	pʰ a ⁴⁴	1130
970	Dashi	cut/rip open	pʰou33	pʰou33	pʰ ou ³³	1130
971	Zhoucheng	cut/rip open	pʰɛ33	pʰɛ33	pʰ ɛ ³³	1130
972	Mazhelong	cut/rip open	pʰɚ44	pʰɚ44	pʰ ɚ/ə ⁴⁴	1130
973	ProtoBai	dark	χɯ4	χɯ4	χ ɯ ⁴	1143
974	Tuoluo	dark	[xɚ42]	xɚ42	x ɚ/ə ⁴²	1143
975	Gongxing	dark	χe24	χe24	χ e ²⁴	1143
976	Ega	dark	xɯ44	xɯ44	x ɯ ⁴⁴	1143
977	Jinman	dark	a42pa42	a42pa42	a ⁴² + p a ⁴²	1144 1145
978	Jinxing	dark	(mian42)	mian42	m i/j a n ⁴²	1146
979	Dashi	dark	xɯ44	xɯ44	x ɯ ⁴⁴	1143
980	Zhoucheng	dark	(miɛ42)	miɛ42	m i/j ɛ ⁴²	1146
981	Mazhelong	dark	xɯ44	xɯ44	x ɯ ⁴⁴	1143
982	ProtoBai	daughter	njo2	njo2	n j o ²	1154
983	Tuoluo	daughter	jvŋ33	jvŋ33	j v/ʯ ŋ ³³	1154
984	Gongxing	daughter	ɲiõ22	ɲiõ22	ɲ i õ ²²	1155
985	Enqi	daughter	ɲiu22	ɲiu22	ɲ i u ²²	1155
986	Ega	daughter	ɲiu22	ɲiu22	ɲ i u ²²	1155
987	Jinman	daughter	ɲiu22	ɲiu22	ɲ i u ²²	1155
988	Jinxing	daughter	jṽ33	jṽ33	j ṽ/ʯ̃ ³³	1154
989	Dashi	daughter	jũ33	jũ33	j ũ ³³	1154
990	Zhoucheng	daughter	ɲiv33	ɲiv33	ɲ i v ³³	1155
991	Mazhelong	daughter	ɲõ33	ɲõ33	ɲ õ ³³	1155
992	ProtoBai	day	nji4	nji4	n j i ⁴	1166
993	Gongxing	day	ɲi22	ɲi22	ɲ i ²²	1166
994	Enqi	day	ɲi22	ɲi22	ɲ i ²²	1166
995	Jinman	day	ɲi55	ɲi55	ɲ i ⁵⁵	1166
996	Dashi	day	jen33	jen33	j e n ³³	1165
997	Zhoucheng	day	ɲie44	ɲie44	ɲ i/j e ⁴⁴	1166
998	Mazhelong	day	ni44	ni44	n i ⁴⁴	1166
999	ProtoBai	dead	sji2	sji2	s j i ²	1173
1000	Tuoluo	dead	ɕi33	ɕi33	ɕ i ³³	1173
1001	Gongxing	dead	ɕi22	ɕi22	ɕ i ²²	1173
1002	Enqi	dead	si22	si22	s i ²²	1173
1003	Ega	dead	si22	si22	s i ²²	1173
1004	Jinman	dead	ɕi22	ɕi22	ɕ i ²²	1173
1005	Jinxing	dead	ɕi33	ɕi33	ɕ i ³³	1173
1006	Dashi	dead	ɕi33	ɕi33	ɕ i ³³	1173
1007	Zhoucheng	dead	ɕi33	ɕi33	ɕ i ³³	1173
1008	Mazhelong	dead	ɕi33	ɕi33	ɕ i ³³	1173
1009	ProtoBai	deep	sʰreŋ1	sʰreŋ1	sʰ r e ŋ ¹	1184
1010	Tuoluo	deep	ʂɚ̃55	ʂɚ̃55	ʂ ɚ/ə̃ ⁵⁵	1184
1011	Gongxing	deep	ʂi55	ʂi55	ʂ i ⁵⁵	1184
1012	Enqi	deep	sɿ24	sɿ24	s ɿ ²⁴	1184
1013	Ega	deep	sɛ55	sɛ55	s ɛ ⁵⁵	1184
1014	Jinman	deep	xõ55	xõ55	x õ ⁵⁵	1184
1015	Jinxing	deep	san55	san55	s a n ⁵⁵	1184
1016	Dashi	deep	ʂʰɚ55	ʂʰɚ55	ʂʰ ɚ/ə ⁵⁵	1184
1017	Zhoucheng	deep	si55	si55	s i ⁵⁵	1184
1018	Mazhelong	deep	sen55	sen55	s e n ⁵⁵	1184
1019	ProtoBai	die	sji2	sji2	s j i ²	1195
1020	Tuoluo	die	ɕi33	ɕi33	ɕ i ³³	1195
1021	Gongxing	die	ɕi22	ɕi22	ɕ i ²²	1195
1022	Enqi	die	si22	si22	s i ²²	1195
1023	Ega	die	si22	si22	s i ²²	1195
1024	Jinman	die	ɕi22	ɕi22	ɕ i ²²	1195
1025	Jinxing	die	ɕi33	ɕi33	ɕ i ³³	1195
1026	Dashi	die	ɕi33	ɕi33	ɕ i ³³	1195
1027	Zhoucheng	die	ɕi33	ɕi33	ɕ i ³³	1195
1028	Mazhelong	die	ɕi33	ɕi33	ɕ i ³³	1195
1029	ProtoBai	direction; orientation	pjɛ2	pjɛ2	p j ɛ ²	1206
1030	Tuoluo	direction; orientation	fɚ33	fɚ33	f ɚ/ə ³³	1206
1031	Gongxing	direction; orientation	(ɢo12pʰu55)	ɢo12pʰu55	ɣ o ¹² + pʰ u ⁵⁵	1207 1206
1032	Enqi	direction; orientation	fE22	fE22	f ᴇ/ɛ ²²	1206
1033	Ega	direction; orientation	(pʰu55)	pʰu55	pʰ u ⁵⁵	1206
1034	Jinman	direction; orientation	fe22	fe22	f e ²²	1206
1035	Jinxing	direction; orientation	fv33	fv33	f v/ʯ ³³	1206
1036	Dashi	direction; orientation	fv33	fv33	f v/ʯ ³³	1206
1037	Zhoucheng	direction; orientation	(po33)	po33	p o ³³	1206
1038	Mazhelong	direction; orientation	[xõ33]	xõ33	x õ ³³	1207
1039	ProtoBai	divide; share (things)	pjen1	pjen1	p j e n ¹	1221
1040	Tuoluo	divide; share (things)	fɚ55	fɚ55	f ɚ/ə ⁵⁵	1218
1041	Gongxing	divide; share (things)	pfũ55	pfũ55	pf ũ ⁵⁵	1218
1042	Enqi	divide; share (things)	fE24	fE24	f ᴇ/ɛ ²⁴	1218
1043	Ega	divide; share (things)	xuɛ55	xuɛ55	x u/w ɛ ⁵⁵	1219
1044	Jinman	divide; share (things)	so55fi55	so55fi55	s o ⁵⁵ + f i ⁵⁵	1220 1218
1045	Jinxing	divide; share (things)	fṽ55	fṽ55	f ṽ/ʯ̃ ⁵⁵	1218
1046	Dashi	divide; share (things)	fṽ35	fṽ35	f ṽ/ʯ̃ ³⁵	1218
1047	Zhoucheng	divide; share (things)	fv35	fv35	f v/ʯ ³⁵	1218
1048	Mazhelong	divide; share (things)	pien55	pien55	p i/j e n ⁵⁵	1221
1049	ProtoBai	dog	qʰuaŋ2	qʰuaŋ2	qʰ u/w a ŋ ²	1230
1050	Tuoluo	dog	qʰuaŋ33	qʰuaŋ33	qʰ u/w a ŋ ³³	1230
1051	Gongxing	dog	qʰuaŋ22	qʰuaŋ22	qʰ u/w a ŋ ²²	1230
1052	Enqi	dog	qʰua22	qʰua22	qʰ u/w a ²²	1230
1053	Ega	dog	qʰua22	qʰua22	qʰ u/w a ²²	1230
1054	Jinman	dog	qʰõ22	qʰõ22	qʰ õ ²²	1230
1055	Jinxing	dog	kʰuɑ̃g33 (is this the right form?)	kʰuɑ̃g33	kʰ u/w ɑ̃ g ³³	1230
1056	Dashi	dog	kʰuaŋ33	kʰuaŋ33	kʰ u/w a ŋ ³³	1230
1057	Zhoucheng	dog	kʰua33	kʰua33	kʰ u/w a ³³	1230
1058	Mazhelong	dog	kʰuaŋ33	kʰuaŋ33	kʰ u/w a ŋ ³³	1230
1059	ProtoBai	door	mɛ1b	mɛ1b	m ɛ 1b/¹	1241
1060	Tuoluo	door	mɛ35	mɛ35	m ɛ ³⁵	1241
1061	Gongxing	door	mǝn12	mǝn12	m ə n ¹²	1241
1062	Enqi	door	mE21	mE21	m ᴇ/ɛ ²¹	1241
1063	Ega	door	mɛ21	mɛ21	m ɛ ²¹	1241
1064	Jinman	door	me21	me21	m e ²¹	1241
1065	Jinxing	door	me21	me21	m e ²¹	1241
1066	Dashi	door	me21	me21	m e ²¹	1241
1067	Zhoucheng	door	me21	me21	m e ²¹	1241
1068	Mazhelong	door	me21	me21	m e ²¹	1241
1069	ProtoBai	dragon	loŋ1b	loŋ1b	l o ŋ 1b/¹	1252
1070	Tuoluo	dragon	loŋ35	loŋ35	l o ŋ ³⁵	1252
1071	Gongxing	dragon	lõ12	lõ12	l õ ¹²	1252
1072	Enqi	dragon	lu21	lu21	l u ²¹	1252
1073	Ega	dragon	lu21	lu21	l u ²¹	1252
1074	Jinman	dragon	lu21	lu21	l u ²¹	1252
1075	Jinxing	dragon	lṽ21	lṽ21	l ṽ/ʯ̃ ²¹	1252
1076	Dashi	dragon	lõ21	lõ21	l õ ²¹	1252
1077	Zhoucheng	dragon	lv21	lv21	l v/ʯ ²¹	1252
1078	Mazhelong	dragon	loŋ21	loŋ21	l o ŋ ²¹	1252
1079	ProtoBai	dream	mɯ5	mɯ5	m ɯ ⁵	1263
1080	Tuoluo	dream	mo21	mo21	m o ²¹	1263
1081	Gongxing	dream	moŋ24	moŋ24	m o ŋ ²⁴	1263
1082	Enqi	dream	mɯ43	mɯ43	m ɯ ⁴³	1263
1083	Ega	dream	mɯ̃55	mɯ̃55	m ɯ̃ ⁵⁵	1263
1084	Jinman	dream	mɯ42	mɯ42	m ɯ ⁴²	1263
1085	Jinxing	dream	mǝ̃31	mǝ̃31	m ə̃ ³¹	1263
1086	Dashi	dream	mǝ̃42	mǝ̃42	m ə̃ ⁴²	1263
1087	Zhoucheng	dream	mɯ53	mɯ53	m ɯ ⁵³	1263
1088	Mazhelong	dream	mǝɯ21	mǝɯ21	m əɯ ²¹	1263
1089	ProtoBai	drink	ɣɯ2	ɣɯ2	ɣ ɯ ²	1276
1090	ProtoBai	drink	ɯ̃2	ɯ̃2	ɯ̃ ²	1274
1091	Tuoluo	drink	ɯ̃33	ɯ̃33	ɯ̃ ³³	1274
1092	Gongxing	drink	(oŋ22)	oŋ22	o ŋ ²²	1275
1093	Enqi	drink	ɯ22	ɯ22	ɯ ²²	1274
1094	Ega	drink	ɯ̃22	ɯ̃22	ɯ̃ ²²	1274
1095	Jinman	drink	ɯ̃22	ɯ̃22	ɯ̃ ²²	1274
1096	Jinxing	drink	ǝ̃33	ǝ̃33	ə̃ ³³	1274
1097	Dashi	drink	ǝ̃33	ǝ̃33	ə̃ ³³	1274
1098	Zhoucheng	drink	ɯ33	ɯ33	ɯ ³³	1274
1099	Mazhelong	drink	oŋ33	oŋ33	o ŋ ³³	1275
1100	ProtoBai	drum	ɢuŋ2	ɢuŋ2	ɣ u ŋ ²	1286
1101	Gongxing	drum	qoŋ22	qoŋ22	q o ŋ ²²	1286
1102	Enqi	drum	ɢu22	ɢu22	ɣ u ²²	1286
1103	Jinxing	drum	ku33	ku33	k u ³³	1286
1104	Dashi	drum	ku33	ku33	k u ³³	1286
1105	Zhoucheng	drum	ku33	ku33	k u ³³	1286
1106	Mazhelong	drum	(kǝɯ21)	kǝɯ21	k əɯ ²¹	1286
1107	ProtoBai	dry	qaŋ1	qaŋ1	q a ŋ ¹	1294
1108	Tuoluo	dry	qɔŋ55	qɔŋ55	q ɔ ŋ ⁵⁵	1294
1109	Gongxing	dry	qaŋ55	qaŋ55	q a ŋ ⁵⁵	1294
1110	Enqi	dry	qa24	qa24	q a ²⁴	1294
1111	Ega	dry	qo55	qo55	q o ⁵⁵	1294
1112	Jinman	dry	qã55	qã55	q ã ⁵⁵	1294
1113	Jinxing	dry	kɑ̃55	kɑ̃55	k ɑ̃ ⁵⁵	1294
1114	Dashi	dry	kã35	kã35	k ã ³⁵	1294
1115	Zhoucheng	dry	ka35	ka35	k a ³⁵	1294
1116	Mazhelong	dry	kaŋ55	kaŋ55	k a ŋ ⁵⁵	1294
1117	ProtoBai	eagle fern	kua4	kua4	k u/w a ⁴	1305
1118	Gongxing	eagle fern	kua12	kua12	k u/w a ¹²	1305
1119	Enqi	eagle fern	kua55	kua55	k u/w a ⁵⁵	1305
1120	Ega	eagle fern	(kui55)/(i45qɯ22)	kui55	k u/w i ⁵⁵	1305
1121	Ega	eagle fern	(kui55)/(i45qɯ22)	i45qɯ22	i ⁴⁵ + q ɯ ²²	1306 1305
1122	Jinman	eagle fern	kua55	kua55	k u/w a ⁵⁵	1305
1123	Zhoucheng	eagle fern	kua55	kua55	k u/w a ⁵⁵	1305
1124	Mazhelong	eagle fern	kua44	kua44	k u/w a ⁴⁴	1305
1125	ProtoBai	ear; spike	truæn2	truæn2	ʈ u/w æ n ²	1315
1126	Tuoluo	ear; spike	tjuaŋ33	tjuaŋ33	tʲ u/w a ŋ ³³	1315
1127	Gongxing	ear; spike	tsuan22	tsuan22	ts u/w a n ²²	1315
1128	Enqi	ear; spike	tzE22	tzE22	t z ᴇ/ɛ ²²	1317
1129	Ega	ear; spike	tɕya22	tɕya22	tɕ y a ²²	1316
1130	Jinman	ear; spike	ʈõ22	ʈõ22	ʈ õ ²²	1317
1131	Jinxing	ear; spike	tsuan33	tsuan33	ts u/w a n ³³	1315
1132	Dashi	ear; spike	tʂuɚ̃33	tʂuɚ̃33	ʈʂ u/w ɚ̃/ə̃ ³³	1315
1133	Zhoucheng	ear; spike	tsuɛ33	tsuɛ33	ts u/w ɛ ³³	1315
1134	Mazhelong	ear; spike	tsuɚ33	tsuɚ33	ts u/w ɚ ³³	1315
1135	ProtoBai	early	tsu2	tsu2	ts u ²	1326
1136	Tuoluo	early	tɕyi33	tɕyi33	tɕ y/ɥ i ³³	1326
1137	Gongxing	early	tɕy22	tɕy22	tɕ y ²²	1326
1138	Enqi	early	tɕyi22	tɕyi22	tɕ y/ɥ i ²²	1326
1139	Ega	early	tɕyi22	tɕyi22	tɕ y/ɥ i ²²	1326
1140	Jinman	early	tsyi22	tsyi22	ts y/ɥ i ²²	1326
1141	Jinxing	early	tsu33	tsu33	ts u ³³	1326
1142	Dashi	early	tsu33	tsu33	ts u ³³	1326
1143	Zhoucheng	early	tsu33	tsu33	ts u ³³	1326
1144	Mazhelong	early	tsu33	tsu33	ts u ³³	1326
1145	ProtoBai	earrings	ɢoŋ1	ɢoŋ1	ɣ o ŋ ¹	1337
1146	Tuoluo	earrings	qoŋ35	qoŋ35	q o ŋ ³⁵	1337
1147	Gongxing	earrings	(tɕien22)	tɕien22	tɕ i/j e n ²²	1337
1148	Enqi	earrings	ko22	ko22	k o ²²	1337
1149	Ega	earrings	ko21	ko21	k o ²¹	1337
1150	Jinman	earrings	kõ21	kõ21	k õ ²¹	1337
1151	Jinxing	earrings	kõ21	kõ21	k õ ²¹	1337
1152	Dashi	earrings	koŋ31	koŋ31	k o ŋ ³¹	1337
1153	Zhoucheng	earrings	ku21	ku21	k u ²¹	1337
1154	Mazhelong	earrings	koŋ21	koŋ21	k o ŋ ²¹	1337
1155	ProtoBai	earth	di3	di3	d i ³	1348
1156	Tuoluo	earth	ʑi21	ʑi21	ʑ i ²¹	1348
1157	Gongxing	earth	dʑi42	dʑi42	dʑ i ⁴²	1348
1158	Enqi	earth	dʑi42 3	dʑi42	dʑ i ⁴²	1348
1159	Ega	earth	tɕi42	tɕi42	tɕ i ⁴²	1348
1160	Jinman	earth	dʑi42	dʑi42	dʑ i ⁴²	1348
1161	Jinxing	earth	tɕi31	tɕi31	tɕ i ³¹	1348
1162	Dashi	earth	tɕi31	tɕi31	tɕ i ³¹	1348
1163	Zhoucheng	earth	tɕi31	tɕi31	tɕ i ³¹	1348
1164	Mazhelong	earth	ti21	ti21	t i ²¹	1348
1165	Tuoluo	earth quake	ʑi21ʐu21	ʑi21ʐu21	ʑ i ²¹ + ʐ u ²¹	1359 1363
1166	Gongxing	earth quake	dʑi21ju24	dʑi21ju24	dʑ i ²¹ + j u ²⁴	1359 1360
1167	Enqi	earth quake	da43dʑi43ju43	da43dʑi43ju43	d a ⁴³ + dʑ i ⁴³ + j u ⁴³	1361 1359 1360
1168	Ega	earth quake	do42tɕi21ju42	do42tɕi21ju42	d o ⁴² + tɕ i ²¹ + j u ⁴²	1361 1359 1360
1169	Jinman	earth quake	da42tɕi21u42	da42tɕi21u42	d a ⁴² + tɕ i ²¹ + u ⁴²	1361 1359 1362
1170	Jinxing	earth quake	tɕi31ju31	tɕi31ju31	tɕ i ³¹ + j u ³¹	1359 1360
1171	Dashi	earth quake	tɕi21ju31	tɕi21ju31	tɕ i ²¹ + j u ³¹	1359 1360
